employee_id,project_id,start_date,end_date
1,1,2023-01-01,2023-06-01
2,2,2023-02-01,2023-07-01
3,3,2023-03-01,2023-08-01
4,4,2023-04-01,2023-09-01
5,5,2023-05-01,2023-10-01
6,6,2023-06-01,2023-11-01
7,7,2023-07-01,2023-12-01
8,8,2023-08-01,2024-01-01
9,9,2023-09-01,2024-02-01
10,10,2023-10-01,2024-03-01
11,11,2023-11-01,2024-04-01
12,12,2023-12-01,2024-05-01
13,13,2024-01-01,2024-06-01
14,14,2024-02-01,2024-07-01
15,15,2024-03-01,2024-08-01
16,16,2024-04-01,2024-09-01
17,17,2024-05-01,2024-10-01
18,18,2024-06-01,2024-11-01
19,19,2024-07-01,2024-12-01
20,20,2024-08-01,2025-01-01
